"","string","Tanimoto"
"1","*[H]",1
"2","F*",1
"3","Cl*",1
"4","Br*",1
"5","I*",1
"6","*N(=O)=O",1
"7","*C#N",1
"8","C*",1
"9","CC*",1
"10","CCC*",1
"11","CCCC*",1
"12","CCCCC*",1
"13","CCCCCC*",1
"14","CCCCCCC*",1
"15","CCCCCCCC*",1
"16","CC(C)C*",1
"17","CC(C)CC*",1
"18","CC(C)(C)CC*",1
"19","CC(C)CCC*",1
"20","CC(C)(C)C*",1
"21","*CC1=CC=CC=C1",1
"22","*CC1CCCCC1",1
"23","*CCC1=CC=CC=C1",1
"24","*C1=CC=CO1",1
"25","*C1=COC=C1",1
"26","*CC=C",1
"27","*CCC=C",1
"28","*C#C",1
"29","OC*",1
"30","NOC*",1
"31","COC*",1
"32","CCOC*",1
"33","CC(=O)OC*",1
"34","COCC*",1
"35","CC(O)C*",1
"36","FC*",1
"37","ClC*",1
"38","BrC*",1
"39","IC*",1
"40","ClCC*",1
"41","ClCCC*",1
"42","FCCC*",1
"43","BrCC*",1
"44","ICC*",1
"45","ClC(Cl)C*",1
"46","ClC(Cl)(Cl)C*",1
"47","FC(F)(F)C*",1
"48","*CC#N",1
"49","*CCC#N",1
"50","NC*",1
"51","CN(C)C*",1
"52","CC(=O)NC*",1
"53","*CN(=O)=O",1
"54","CN(C)CC*",1
"55","*COC1=CC=CC=C1",1
"56","SC*",1
"57","CSC*",1
"58","*CSC#N",1
"59","FC(F)(F)SC*",1
"60","CS(=O)C*",1
"61","CS(=O)(=O)C*",1
"62","[H]C(=O)C*",1
"63","OC(=O)C*",1
"64","CC(=O)C*",1
"65","COC(=O)C*",1
"66","NC(=O)C*",1
"67","OC(=O)CC*",1
"68","CC(=O)CC*",1
"69","CC(C)*",1
"70","CCC(C)*",1
"71","CCCC(C)*",1
"72","CCCCC(C)*",1
"73","CCCC(*)CC",1
"74","CCC(*)C(C)C",1
"75","CCCCC(*)CC",1
"76","CCC(*)CC(C)(C)C",1
"77","CCC(*)CC",1
"78","CCCC(*)CCC",1
"79","CC(C)C(*)C(C)C",1
"80","CC(C)C(*)C(C)(C)C",1
"81","CC(*)C(C)(C)C",1
"82","CC(*)CC(C)(C)C",1
"83","CCCCCCC(C)*",1
"84","CCCCC(*)CCCC",1
"85","CC(C)(C)C(*)C(C)(C)C",1
"86","CC(C)(C)CC(*)CC(C)(C)C",1
"87","CC(C)CC(*)CC(C)C",1
"88","CC(C)CC(*)CC(C)(C)C",1
"89","CC(*)C1=CC=CC=C1",1
"90","CCC(*)C1=CC=CC=C1",1
"91","*C(C1=CC=CC=C1)C1=CC=CC=C1",1
"92","CC(*)C=C",1
"93","CC(*)C#C",1
"94","*C(C#N)C#N",1
"95","FC(F)*",1
"96","ClC(Cl)*",1
"97","BrC(Br)*",1
"98","IC(I)*",1
"99","CC(Cl)*",1
"100","CC(Br)*",1
"101","CC(I)*",1
"102","FCC(F)*",1
"103","CC(O)*",1
"104","CCC(O)*",1
"105","CCCC(O)*",1
"106","CC(C)(C)C(O)*",1
"107","OC(*)C1=CC=CC=C1",1
"108","OCC(O)*",1
"109","OC(O)*",1
"110","OC(F)*",1
"111","COC(C)*",1
"112","CCC(*)OC",1
"113","COCC(*)OC",1
"114","*C1CC1",1
"115","*C1CCC1",1
"116","*C1CCCC1",1
"117","*C1CCCCC1",1
"118","*C1CCCCCC1",1
"119","CC(C)(C)*",1
"120","CCC(C)(C)*",1
"121","CC(C)C(C)(C)*",1
"122","CC(C)(C)C(C)(C)*",1
"123","CC(C)(C)CC(C)(C)*",1
"124","CC(C)(C)CC(C)(*)C(C)(C)C",1
"125","CC(C)C(C)(*)C(C)C",1
"126","CC(C)C(C)(*)C(C)(C)C",1
"127","CCC(*)(C(C)C)C(C)(C)C",1
"128","CCC(*)(CC)C(C)C",1
"129","CCC(*)(CC)C(C)(C)C",1
