Daylight SMILES Fragments,sigma,sigma meta,sigma para
*[H],0,,
F*,0.282857143,,
Cl*,0.354,,
Br*,0.474285714,,
I*,0.376,,
*N(=O)=O,1.036666667,,
*C#N,0.613333333,,
C*,-0.181111111,,
CC*,-0.148,,
CCC*,-0.055,,
CCCC*,-0.075,,
CCCCC*,-0.08,,
CCCCCC*,-0.16,,
CCCCCCC*,-0.13,,
CCCCCCCC*,0,,
CC(C)C*,-0.07,,
CC(C)CC*,0,,
CC(C)(C)CC*,0,,
CC(C)CCC*,0,,
CC(C)(C)C*,0.04,,
*CC1=CC=CC=C1,-0.046666667,,
*CC1CCCCC1,0.17,,
*CCC1=CC=CC=C1,-0.07,,
*C1=CC=CO1,0,,
*C1=COC=C1,0.235,,
*CC=C,-0.11,,
*CCC=C,0,,
*C#C,0.07,,
OC*,0.1775,,
NOC*,0,,
COC*,-0.01,,
CCOC*,0,,
CC(=O)OC*,0.085,,
COCC*,0,,
CC(O)C*,-0.12,,
FC*,0.115,,
ClC*,0.096666667,,
BrC*,0.14,,
IC*,0.125,,
ClCC*,0,,
ClCCC*,0,,
FCCC*,0,,
BrCC*,0,,
ICC*,0,,
ClC(Cl)C*,0,,
ClC(Cl)(Cl)C*,0.06,,
FC(F)(F)C*,0.14,,
*CC#N,0.19,,
*CCC#N,0,,
NC*,-0.03,,
CN(C)C*,0,,
CC(=O)NC*,0.005,,
*CN(=O)=O,0,,
CN(C)CC*,0,,
*COC1=CC=CC=C1,0.05,,
SC*,0.08,,
CSC*,0,,
*CSC#N,0.12,,
FC(F)(F)SC*,0.12,,
CS(=O)C*,0,,
CS(=O)(=O)C*,0.18,,
[H]C(=O)C*,0,,
OC(=O)C*,0,,
CC(=O)C*,0,,
COC(=O)C*,0.13,,
NC(=O)C*,0.045,,
OC(=O)CC*,-0.03,,
CC(=O)CC*,0,,
CC(C)*,-0.063333333,,
CCC(C)*,-0.08,,
CCCC(C)*,0,,
CCCCC(C)*,0,,
CCCC(*)CC,0,,
CCC(*)C(C)C,0,,
CCCCC(*)CC,0,,
CCC(*)CC(C)(C)C,0,,
CCC(*)CC,0,,
CCCC(*)CCC,0,,
CC(C)C(*)C(C)C,0,,
CC(C)C(*)C(C)(C)C,0,,
CC(*)C(C)(C)C,0,,
CC(*)CC(C)(C)C,0,,
CCCCCCC(C)*,0,,
CCCCC(*)CCCC,0,,
CC(C)(C)C(*)C(C)(C)C,0,,
CC(C)(C)CC(*)CC(C)(C)C,0,,
CC(C)CC(*)CC(C)C,0,,
CC(C)CC(*)CC(C)(C)C,0,,
CC(*)C1=CC=CC=C1,-0.03,,
CCC(*)C1=CC=CC=C1,0,,
*C(C1=CC=CC=C1)C1=CC=CC=C1,-0.03,,
CC(*)C=C,0,,
CC(*)C#C,0,,
*C(C#N)C#N,0.53,,
FC(F)*,0.305,,
ClC(Cl)*,0.275,,
BrC(Br)*,0.31,,
IC(I)*,0.26,,
CC(Cl)*,0,,
CC(Br)*,0,,
CC(I)*,0,,
FCC(F)*,0,,
CC(O)*,0.04,,
CCC(O)*,0,,
CCCC(O)*,0,,
CC(C)(C)C(O)*,0,,
OC(*)C1=CC=CC=C1,0,,
OCC(O)*,0,,
OC(O)*,0,,
OC(F)*,0,,
COC(C)*,0,,
CCC(*)OC,0,,
COCC(*)OC,0,,
*C1CC1,-0.07,,
*C1CCC1,-0.09,,
*C1CCCC1,-0.1,,
*C1CCCCC1,-0.113333333,,
*C1CCCCCC1,0,,
CC(C)(C)*,-0.0825,,
CCC(C)(C)*,-0.06,,
CC(C)C(C)(C)*,0,,
CC(C)(C)C(C)(C)*,0,,
CC(C)(C)CC(C)(C)*,0,,
CC(C)(C)CC(C)(*)C(C)(C)C,0,,
CC(C)C(C)(*)C(C)C,0,,
CC(C)C(C)(*)C(C)(C)C,0,,
CCC(*)(C(C)C)C(C)(C)C,0,,
CCC(*)(CC)C(C)C,0,,
CCC(*)(CC)C(C)(C)C,0,,
CCC(*)(C(C)C)C(C)C,0,,
CCC(*)(CC)CC,-0.07,,
CC(C)C(*)(C(C)C)C(C)C,0,,
CC(*)(C1=CC=CC=C1)C1=CC=CC=C1,0,,
CCC(*)(C1=CC=CC=C1)C1=CC=CC=C1,0,,
*C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,-0.01,,
CC(C)(O)*,0.47,,
COC(C)(C)*,0,,
CC(C)(Br)*,0,,
CC(Br)(Br)*,0,,
FC(F)(F)*,0.441818182,,
ClC(Cl)(Cl)*,0.3825,,
BrC(Br)(Br)*,0.28,,
IC(I)(I)*,0,,
FC(F)(Cl)*,0.42,,
FC(F)(F)C(F)(F)*,0.496666667,,
*C=C,0.05,,
CC=C*,0,,
CC=C*,0,,
CCC=C*,-0.04,,
CC(C)=C*,-0.06,,
*\C=C\C=O,0.24,,
OC(=O)\C=C\*,0.14,,
CC(=O)\C=C\*,0.21,,
CCOC(=O)\C=C\*,0,,
ClC=C*,0,,
ClC=C*,0,,
ClC(Cl)=C*,0.11,,
FC(F)=C*,0,,
*\C=C/C#N,0.24,,
*C=C(C#N)C#N,0.553333333,,
*\C=C/N(=O)=O,0.3,,
*\C=C/C1=CC=CC=C1,0.04,,
CC(*)=C,0.09,,
C\C=C(\C)*,0,,
ClC(Cl)=C(Cl)*,0,,
FC(F)=C(F)*,0,,
*C(C#N)=C(C#N)C#N,0.8,,
*C#C,0.25,,
CC#C*,0.155,,
*C#CC1=CC=CC=C1,0.186666667,,
FC(F)(F)C#C*,0.41,,
*C=O,0.37625,,
OC(*)=O,0.326666667,,
CCOC(*)=O,0.328333333,,
CC(*)=O,0.34,,
CC(C)C(*)=O,0.38,,
*C(=O)C1=CC=CC=C1,0.3625,,
FC(F)(F)C(*)=O,0.63,,
NC(*)=O,0.295,,
CNC(*)=O,0.35,,
*C(=O)NC1=CC=CC=C1,0.26,,
COC(*)=O,0.334285714,,
CCOC(*)=O,0.328333333,,
*C1=CC=CC=C1,0.082857143,,
*C1=CC=C2C=CC=CC2=C1,0.06,,
*C1=CC2=C(C=C1)C=C1C=CC=CC1=C2,0,,
*C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,0,,
*C1=CC=CO1,0.066666667,,
*C1=COC=C1,0,,
N*,-0.086363636,,
CN*,-0.233333333,,
CCN*,-0.24,,
CCCN*,0,,
CCCCN*,-0.34,,
*NC1=CC=CC=C1,-0.07,,
*NC=O,0.193333333,,
CC(=O)N*,0.121818182,,
*NC(=O)C1=CC=CC=C1,0.141666667,,
CCOC(=O)N*,0.08,,
NC(=O)N*,0,,
ON*,-0.04,,
NN*,-0.02,,
CN(C)*,-0.148888889,,
CCN(*)CC,-0.19,,
CN(*)C(C)=O,0.295,,
O*,0.096,,
CO*,0.112857143,,
CCO*,-0.075,,
CCCO*,0.095,,
CCCCO*,0.04,,
CCCCCO*,0.08,,
CC(C)O*,0.075,,
*OCC=C,0.09,,
*OCC#C,0,,
*OC1CCCCC1,0,,
*OC1=CC=CC=C1,0.2475,,
CC(=O)O*,0.316,,
FC(F)(F)C(=O)O*,0,,
*ON(=O)=O,0.55,,
FC(F)(F)O*,0.365,,
ClCO*,0.25,,
FCO*,0.2,,
ClC(Cl)O*,0.38,,
FC(F)O*,0.31,,
ClC(Cl)(Cl)O*,0.43,,
*OC#N,0.67,,
CS(=O)(=O)O*,0.42,,
CP(C)*,0.08,,
CCP(*)CC,0.093333333,,
*P(C#N)C#N,0.82,,
COP(*)OC,0,,
CN(C)P(*)N(C)C,0.075,,
CCOP(*)C1=CC=CC=C1,0,,
*P(C1=CC=CC=C1)C1=CC=CC=C1,0.193333333,,
ClP(Cl)*,0.535,,
FP(F)*,0.41,,
ClP(Cl)(*)=O,0.79,,
FP(F)(*)=O,0.81,,
OP(O)(*)=O,0.36,,
CP(C)(*)=O,0.436,,
CCCCP(*)(=O)CCCC,0.36,,
COP(*)(=O)OC,0.3925,,
CCOP(*)(=O)OCC,0.435,,
CCCOP(*)(=O)OCCC,0.38,,
*P(=O)(C1=CC=CC=C1)C1=CC=CC=C1,0.377,,
CP(C)(*)=S,0.43,,
ClP(Cl)(*)=S,0.715,,
*P(=S)(C1=CC=CC=C1)C1=CC=CC=C1,0.365,,
S*,0.236666667,,
CS*,0.1425,,
CCS*,0.19,,
CCCS*,0.22,,
CCCCS*,0.21,,
CCCCCS*,0,,
CC(C)S*,0.2,,
*SCC1=CC=CC=C1,0.23,,
*SC1=CC=CC=C1,0.233333333,,
*SC1CCCCC1,0,,
*SC=C,0.22,,
*SCC=C,0.19,,
*SC#C,0.26,,
*SC#N,0.483333333,,
FCS*,0.23,,
FC(F)S*,0.33,,
ClS*,0.44,,
FC(F)(F)S*,0.387,,
CN(C)S*,0.12,,
COS*,0.21,,
FCOS*,0,,
CC(=O)S*,0.384,,
NC(=O)S*,0.34,,
FS(F)(F)*,0.7,,
OS(*)(=O)=O,0.555,,
CS(*)(=O)=O,0.635454545,,
CS(*)=O,0.496666667,,
CCS(*)(=O)=O,0.66,,
CCS(*)=O,0,,
CCCS(*)(=O)=O,0.67,,
CCCS(*)=O,0,,
FS(*)(=O)=O,0.885,,
FS(*)=O,0.74,,
ClS(*)(=O)=O,0.996666667,,
ClS(*)=O,0,,
FC(F)(F)S(*)(=O)=O,0.827777778,,
FC(F)(F)S(*)=O,0.653333333,,
CC(C)S(*)(=O)=O,0,,
CC(C)S(*)=O,0,,
NS(*)(=O)=O,0.526,,
NS(*)=O,0,,
CNS(*)(=O)=O,0,,
CNS(*)=O,0,,
CN(C)S(*)(=O)=O,0.52,,
CN(C)S(*)=O,0,,
*S(=O)(=O)C1=CC=CC=C1,0.62,,
*S(=O)C1=CC=CC=C1,0.505,,
*S(=O)(=O)C=C,0,,
COS(*)(=O)=O,0,,
COS(*)=O,0.5,,
*S(=O)(=O)C#N,1.1,,
FC(F)S(*)(=O)=O,0.75,,
[H]C1=CC=CC(*)=C1,,0,
FC1=CC=CC(*)=C1,,0.134,
ClC1=CC=CC(*)=C1,,0.229166667,
BrC1=CC=CC(*)=C1,,0.297777778,
IC1=CC=CC(*)=C1,,0.237777778,
*C1=CC(=CC=C1)N(=O)=O,,1.467,
*C1=CC(=CC=C1)C#N,,0.681,
CC1=CC=CC(*)=C1,,-0.141,
CCC1=CC=CC(*)=C1,,-0.2,
CCCC1=CC=CC(*)=C1,,-0.155,
CCCCC1=CC=CC(*)=C1,,-0.175,
CCCCCC1=CC=CC(*)=C1,,-0.15,
CCCCCCC1=CC=CC(*)=C1,,0,
CCCCCCCC1=CC=CC(*)=C1,,-0.16,
CCCCCCCCC1=CC=CC(*)=C1,,0,
CC(C)CC1=CC=CC(*)=C1,,-0.12,
CC(C)CCC1=CC=CC(*)=C1,,-0.23,
CC(C)(C)CC1=CC=CC(*)=C1,,0,
CC(C)CCCC1=CC=CC(*)=C1,,0,
CC(C)(C)C1=CC=CC(*)=C1,,-0.145,
*C1=CC(CC2=CC=CC=C2)=CC=C1,,-0.09,
*C1=CC(CC2CCCCC2)=CC=C1,,0,
*C1=CC(CCC2=CC=CC=C2)=CC=C1,,-0.12,
*C1=CC(=CC=C1)C1=CC=CO1,,0,
*C1=CC(=CC=C1)C1=COC=C1,,0,
*C1=CC(CC=C)=CC=C1,,-0.14,
*C1=CC(CCC=C)=CC=C1,,0,
*C1=CC(CC#C)=CC=C1,,0,
OCC1=CC=CC(*)=C1,,-0.002,
NOCC1=CC=CC(*)=C1,,0,
COCC1=CC=CC(*)=C1,,0.02,
CCOCC1=CC=CC(*)=C1,,0,
CC(=O)OCC1=CC=CC(*)=C1,,0.055,
COCCC1=CC=CC(*)=C1,,0,
CC(O)CC1=CC=CC(*)=C1,,-0.17,
FCC1=CC=CC(*)=C1,,0.105,
ClCC1=CC=CC(*)=C1,,0.155,
BrCC1=CC=CC(*)=C1,,0.116666667,
ICC1=CC=CC(*)=C1,,0.095,
ClCCC1=CC=CC(*)=C1,,0,
ClCCCC1=CC=CC(*)=C1,,0,
FCCCC1=CC=CC(*)=C1,,0,
BrCCC1=CC=CC(*)=C1,,0,
ICCC1=CC=CC(*)=C1,,0,
ClC(Cl)CC1=CC=CC(*)=C1,,0,
ClC(Cl)(Cl)CC1=CC=CC(*)=C1,,0,
FC(F)(F)CC1=CC=CC(*)=C1,,0.115,
*C1=CC(CC#N)=CC=C1,,0.116666667,
*C1=CC(CCC#N)=CC=C1,,0,
NCC1=CC=CC(*)=C1,,-0.11,
CN(C)CC1=CC=CC(*)=C1,,0.01,
CC(=O)NCC1=CC=CC(*)=C1,,-0.05,
*C1=CC(CN(=O)=O)=CC=C1,,0,
CN(C)CCC1=CC=CC(*)=C1,,-0.09,
*C1=CC(COC2=CC=CC=C2)=CC=C1,,0.06,
SCC1=CC=CC(*)=C1,,0,
CSCC1=CC=CC(*)=C1,,0,
*C1=CC(CSC#N)=CC=C1,,0.14,
FC(F)(F)SCC1=CC=CC(*)=C1,,0.15,
CS(=O)CC1=CC=CC(*)=C1,,0,
CS(=O)(=O)CC1=CC=CC(*)=C1,,0,
*C1=CC(CC=O)=CC=C1,,0,
OC(=O)CC1=CC=CC(*)=C1,,-0.07,
CC(=O)CC1=CC=CC(*)=C1,,0,
COC(=O)CC1=CC=CC(*)=C1,,0,
NC(=O)CC1=CC=CC(*)=C1,,4.5,
OC(=O)CCC1=CC=CC(*)=C1,,-0.07,
CC(=O)CCC1=CC=CC(*)=C1,,0,
CC(C)C1=CC=CC(*)=C1,,-0.1125,
CCC(C)C1=CC=CC(*)=C1,,-0.143333333,
CCCC(C)C1=CC=CC(*)=C1,,-0.22,
CCCCC(C)C1=CC=CC(*)=C1,,0,
CCCC(CC)C1=CC=CC(*)=C1,,0,
CCC(C(C)C)C1=CC=CC(*)=C1,,0,
CCCCC(CC)C1=CC=CC(*)=C1,,0,
CCC(CC(C)C)C1=CC=CC(*)=C1,,0,
CCC(CC)C1=CC=CC(*)=C1,,0,
CCCC(CCC)C1=CC=CC(*)=C1,,0,
CC(C)C(C(C)C)C1=CC=CC(*)=C1,,0,
CC(C)C(C1=CC=CC(*)=C1)C(C)(C)C,,0,
CC(C1=CC=CC(*)=C1)C(C)(C)C,,0,
CC(CC(C)(C)C)C1=CC=CC(*)=C1,,0,
CC(CC1=CC=CC=C1)C1=CC=CC(*)=C1,,0,
