"","Daylight.SMILES.Fragments","sigma","sigma.meta","sigma.para"
"1","*[H]",0,NA,NA
"2","F*",0.282857143,NA,NA
"3","Cl*",0.354,NA,NA
"4","Br*",0.474285714,NA,NA
"5","I*",0.376,NA,NA
"6","*N(=O)=O",1.036666667,NA,NA
"7","*C#N",0.613333333,NA,NA
"8","C*",-0.181111111,NA,NA
"9","CC*",-0.148,NA,NA
"10","CCC*",-0.055,NA,NA
"11","CCCC*",-0.075,NA,NA
"12","CCCCC*",-0.08,NA,NA
"13","CCCCCC*",-0.16,NA,NA
"14","CCCCCCC*",-0.13,NA,NA
"15","CCCCCCCC*",0,NA,NA
"16","CC(C)C*",-0.07,NA,NA
"17","CC(C)CC*",0,NA,NA
"18","CC(C)(C)CC*",0,NA,NA
"19","CC(C)CCC*",0,NA,NA
"20","CC(C)(C)C*",0.04,NA,NA
"21","*CC1=CC=CC=C1",-0.046666667,NA,NA
"22","*CC1CCCCC1",0.17,NA,NA
"23","*CCC1=CC=CC=C1",-0.07,NA,NA
"24","*C1=CC=CO1",0,NA,NA
"25","*C1=COC=C1",0.235,NA,NA
"26","*CC=C",-0.11,NA,NA
"27","*CCC=C",0,NA,NA
"28","*C#C",0.07,NA,NA
"29","OC*",0.1775,NA,NA
"30","NOC*",0,NA,NA
"31","COC*",-0.01,NA,NA
"32","CCOC*",0,NA,NA
"33","CC(=O)OC*",0.085,NA,NA
"34","COCC*",0,NA,NA
"35","CC(O)C*",-0.12,NA,NA
"36","FC*",0.115,NA,NA
"37","ClC*",0.096666667,NA,NA
"38","BrC*",0.14,NA,NA
"39","IC*",0.125,NA,NA
"40","ClCC*",0,NA,NA
"41","ClCCC*",0,NA,NA
"42","FCCC*",0,NA,NA
"43","BrCC*",0,NA,NA
"44","ICC*",0,NA,NA
"45","ClC(Cl)C*",0,NA,NA
"46","ClC(Cl)(Cl)C*",0.06,NA,NA
"47","FC(F)(F)C*",0.14,NA,NA
"48","*CC#N",0.19,NA,NA
"49","*CCC#N",0,NA,NA
"50","NC*",-0.03,NA,NA
"51","CN(C)C*",0,NA,NA
"52","CC(=O)NC*",0.005,NA,NA
"53","*CN(=O)=O",0,NA,NA
"54","CN(C)CC*",0,NA,NA
"55","*COC1=CC=CC=C1",0.05,NA,NA
"56","SC*",0.08,NA,NA
"57","CSC*",0,NA,NA
"58","*CSC#N",0.12,NA,NA
"59","FC(F)(F)SC*",0.12,NA,NA
"60","CS(=O)C*",0,NA,NA
"61","CS(=O)(=O)C*",0.18,NA,NA
"62","[H]C(=O)C*",0,NA,NA
"63","OC(=O)C*",0,NA,NA
"64","CC(=O)C*",0,NA,NA
"65","COC(=O)C*",0.13,NA,NA
"66","NC(=O)C*",0.045,NA,NA
"67","OC(=O)CC*",-0.03,NA,NA
"68","CC(=O)CC*",0,NA,NA
"69","CC(C)*",-0.063333333,NA,NA
"70","CCC(C)*",-0.08,NA,NA
"71","CCCC(C)*",0,NA,NA
"72","CCCCC(C)*",0,NA,NA
"73","CCCC(*)CC",0,NA,NA
"74","CCC(*)C(C)C",0,NA,NA
"75","CCCCC(*)CC",0,NA,NA
"76","CCC(*)CC(C)(C)C",0,NA,NA
"77","CCC(*)CC",0,NA,NA
"78","CCCC(*)CCC",0,NA,NA
"79","CC(C)C(*)C(C)C",0,NA,NA
"80","CC(C)C(*)C(C)(C)C",0,NA,NA
"81","CC(*)C(C)(C)C",0,NA,NA
"82","CC(*)CC(C)(C)C",0,NA,NA
"83","CCCCCCC(C)*",0,NA,NA
"84","CCCCC(*)CCCC",0,NA,NA
"85","CC(C)(C)C(*)C(C)(C)C",0,NA,NA
"86","CC(C)(C)CC(*)CC(C)(C)C",0,NA,NA
"87","CC(C)CC(*)CC(C)C",0,NA,NA
"88","CC(C)CC(*)CC(C)(C)C",0,NA,NA
"89","CC(*)C1=CC=CC=C1",-0.03,NA,NA
"90","CCC(*)C1=CC=CC=C1",0,NA,NA
"91","*C(C1=CC=CC=C1)C1=CC=CC=C1",-0.03,NA,NA
"92","CC(*)C=C",0,NA,NA
"93","CC(*)C#C",0,NA,NA
"94","*C(C#N)C#N",0.53,NA,NA
"95","FC(F)*",0.305,NA,NA
"96","ClC(Cl)*",0.275,NA,NA
"97","BrC(Br)*",0.31,NA,NA
"98","IC(I)*",0.26,NA,NA
"99","CC(Cl)*",0,NA,NA
"100","CC(Br)*",0,NA,NA
"101","CC(I)*",0,NA,NA
"102","FCC(F)*",0,NA,NA
"103","CC(O)*",0.04,NA,NA
"104","CCC(O)*",0,NA,NA
"105","CCCC(O)*",0,NA,NA
"106","CC(C)(C)C(O)*",0,NA,NA
"107","OC(*)C1=CC=CC=C1",0,NA,NA
"108","OCC(O)*",0,NA,NA
"109","OC(O)*",0,NA,NA
"110","OC(F)*",0,NA,NA
"111","COC(C)*",0,NA,NA
"112","CCC(*)OC",0,NA,NA
"113","COCC(*)OC",0,NA,NA
"114","*C1CC1",-0.07,NA,NA
"115","*C1CCC1",-0.09,NA,NA
"116","*C1CCCC1",-0.1,NA,NA
"117","*C1CCCCC1",-0.113333333,NA,NA
"118","*C1CCCCCC1",0,NA,NA
"119","CC(C)(C)*",-0.0825,NA,NA
"120","CCC(C)(C)*",-0.06,NA,NA
"121","CC(C)C(C)(C)*",0,NA,NA
"122","CC(C)(C)C(C)(C)*",0,NA,NA
"123","CC(C)(C)CC(C)(C)*",0,NA,NA
"124","CC(C)(C)CC(C)(*)C(C)(C)C",0,NA,NA
"125","CC(C)C(C)(*)C(C)C",0,NA,NA
"126","CC(C)C(C)(*)C(C)(C)C",0,NA,NA
"127","CCC(*)(C(C)C)C(C)(C)C",0,NA,NA
"128","CCC(*)(CC)C(C)C",0,NA,NA
"129","CCC(*)(CC)C(C)(C)C",0,NA,NA
"130","CCC(*)(C(C)C)C(C)C",0,NA,NA
"131","CCC(*)(CC)CC",-0.07,NA,NA
"132","CC(C)C(*)(C(C)C)C(C)C",0,NA,NA
"133","CC(*)(C1=CC=CC=C1)C1=CC=CC=C1",0,NA,NA
"134","CCC(*)(C1=CC=CC=C1)C1=CC=CC=C1",0,NA,NA
"135","*C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1",-0.01,NA,NA
"136","CC(C)(O)*",0.47,NA,NA
"137","COC(C)(C)*",0,NA,NA
"138","CC(C)(Br)*",0,NA,NA
"139","CC(Br)(Br)*",0,NA,NA
"140","FC(F)(F)*",0.441818182,NA,NA
"141","ClC(Cl)(Cl)*",0.3825,NA,NA
"142","BrC(Br)(Br)*",0.28,NA,NA
"143","IC(I)(I)*",0,NA,NA
"144","FC(F)(Cl)*",0.42,NA,NA
"145","FC(F)(F)C(F)(F)*",0.496666667,NA,NA
"146","*C=C",0.05,NA,NA
"147","CC=C*",0,NA,NA
"148","CC=C*",0,NA,NA
"149","CCC=C*",-0.04,NA,NA
"150","CC(C)=C*",-0.06,NA,NA
"151","*\C=C\C=O",0.24,NA,NA
"152","OC(=O)\C=C\*",0.14,NA,NA
"153","CC(=O)\C=C\*",0.21,NA,NA
"154","CCOC(=O)\C=C\*",0,NA,NA
"155","ClC=C*",0,NA,NA
"156","ClC=C*",0,NA,NA
"157","ClC(Cl)=C*",0.11,NA,NA
"158","FC(F)=C*",0,NA,NA
"159","*\C=C/C#N",0.24,NA,NA
"160","*C=C(C#N)C#N",0.553333333,NA,NA
"161","*\C=C/N(=O)=O",0.3,NA,NA
"162","*\C=C/C1=CC=CC=C1",0.04,NA,NA
"163","CC(*)=C",0.09,NA,NA
"164","C\C=C(\C)*",0,NA,NA
"165","ClC(Cl)=C(Cl)*",0,NA,NA
"166","FC(F)=C(F)*",0,NA,NA
"167","*C(C#N)=C(C#N)C#N",0.8,NA,NA
